Id,Area,Location,No_of_Bedrooms,New_or_Resale,Gymnasium,Lift_Available,Car Parking,Maintenance Staff,Security,Childrens Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price
943065,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,4200000
261148,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,28000000
968049,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,40000000
428800,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,16000000
696839,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,17000000
588910,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9500000
706060,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9500000
893268,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,7500000
736970,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8500000
645038,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,13000000
658402,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,13700000
633686,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8000000
765583,1240,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10500000
331273,1110,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7700000
417670,1050,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,7500000
248108,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1,9000000
105441,555,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6000000
670089,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6200000
444007,600,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,5000000
224369,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6500000
941868,700,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5200000
216025,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,4200000
578489,560,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5500000
632467,670,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,5500000
549606,740,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,6000000
650605,636,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5500000
979022,680,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4200000
818844,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1,16500000
615852,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,11399999
827190,1500,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,13500000
749877,1850,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,22500000
673090,2100,Kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1,40000000
527060,610,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5700000
633761,655,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4800000
868865,660,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
794713,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4300000
676289,680,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,4500000
227417,670,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,5300000
977241,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4803000
450008,1800,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,13000000
985189,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,15500000
558109,1395,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13000000
949949,1150,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8500000
568650,1200,Kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1,9400000
528827,615,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
949347,670,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,5300000
281755,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6000000
731337,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,5600000
485484,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,17500000
108851,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12000000
910207,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,15000000
551502,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13000000
235196,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,16600000
468303,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,13000000
239447,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9400000
102008,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,5700000
546683,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,5500000
533775,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,6000000
496523,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5600000
511373,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4900000
779413,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13500000
886277,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,22000000
723997,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1,17500000
135156,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,17800000
600610,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,14000000
417982,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7200000
218850,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,7000000
767283,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1,15000000
119680,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10000000
416484,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1,17500000
170064,1415,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,11000000
708709,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,13000000
377482,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,12500000
792289,1197,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,13000000
830875,1300,Kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1,15000000
407648,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,7500000
514611,1240,Kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1,9500000
997350,650,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,5500000
876183,600,Sector 20 Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,5000000
790470,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,5000000
779526,550,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,5500000
777326,650,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,4200000
248913,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,4200000
915529,740,Kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,6000000
832010,570,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,5000000
615710,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,5500000
138699,640,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,4300000
321726,1700,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,15500000
612826,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,11399999
515519,1530,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,12000000
184028,1750,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0,16000000
967545,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,22000000
726540,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11000000
439570,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,16600000
434873,1687,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14000000
321912,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,8500000
602119,555,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6000000
472421,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,4900000
864435,646,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4200000
447397,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
590656,640,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,4300000
494671,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,5500000
992018,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,13500000
857255,1780,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,15000000
311325,1687,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,14000000
586018,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6900000
230474,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8300000
801979,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,9000000
883323,700,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,5100000
873568,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,5200000
315859,670,Kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,5500000
483217,550,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,5500000
612254,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,5400000
859923,660,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,5300000
636565,550,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,5500000
231496,570,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,5000000
932140,1550,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,14000000
741500,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,17100000
169961,1475,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11800000
119823,759,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6000000
118318,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,4850000
198532,550,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,4500000
665701,620,Kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,4100000
492536,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,5000000
921778,745,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,5500000
485044,580,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4500000
195692,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,5300000
762787,1845,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19000000
931697,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13500000
725852,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13600000
129370,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,15500000
278335,1585,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,16500000
732907,1350,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,8600000
407431,1075,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10000000
887510,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10500000
344929,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,4700000
365613,720,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,6200000
414942,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
716225,735,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,6900000
831040,580,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4500000
504903,1505,Kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,10000000
883179,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,13000000
263996,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,11000000
551399,1455,Sector 18 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,13000000
638852,1098,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,10500000
781623,1210,Sector 15 Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,13000000
975298,1000,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9500000
707826,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,4500000
410037,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,13000000
697715,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,13600000
723615,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,16200000
793832,1440,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,15000000
727586,1370,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,13200000
108518,1022,Sector 18 Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7500000
851426,1000,Kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1,9500000
180076,1760,Kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1,15000000
816448,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1,7500000
559163,1550,Sector 20 Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1,13000000
827717,1675,Kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1,16200000
222088,1060,Kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11000000
341892,1150,Kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1,11600000
467884,670,Kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,5600000
469302,900,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,8000000
668778,1088,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0,9500000
961114,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2018000
499561,1200,Churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65000000
157793,1717,Prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,45000000
529942,750,Jogeshwari West,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16500000
833713,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,2375000
584278,1200,Malad East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19500000
694115,420,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
626302,540,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000
548958,415,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2250000
720175,650,Virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2700000
993019,1100,Malad West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,22000000
347468,1105,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,17000000
793178,2600,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,43500000
726269,700,Mira Road East,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,4760000
557308,1296,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18100000
376103,1638,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,23800000
890528,1465,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21200000
260904,700,Borivali East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,8600000
279677,2030,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,36500000
243484,1450,Malad West,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1,23700000
155129,1100,Malad West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21400000
654422,800,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12500000
157117,1500,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18000000
133383,1100,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13200000
608658,1962,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,35300000
873672,950,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,15300000
792515,1440,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,25000000
938792,1200,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13899999
652887,1785,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,33500000
413224,775,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14500000
588942,765,Kandivali West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9000000
713419,910,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13500000
169505,640,Goregaon West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9000000
585715,1264,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21600000
596771,1056,Kandivali West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,13700000
639390,1810,Kandivali East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,27799999
555585,1656,Goregaon West,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,27900000
852816,3888,Goregaon West,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,81600000
911941,2030,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,38600000
742968,1114,Andheri East,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1,17000000
367290,3585,Goregaon West,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1,60100000
196123,1404,Goregaon East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,27900000
353310,1620,Goregaon East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,31500000
414647,2780,Malad East,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,37500000
777000,1672,Malad East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,31000000
486254,1200,Malad East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,21100000
898199,1200,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,16500000
388921,1250,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,16000000
670859,1840,Borivali East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,26000000
983055,1170,Malad West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,15200000
998939,310,Kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2300000
817517,1245,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,33000000
932486,1153,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,29000000
971747,573,Ulwe,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,11200000
260144,1100,Ulwe,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,9000000
556045,1135,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1,8500000
269973,1060,Kharghar,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1,9000000
485128,560,Malad West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11500000
475910,1150,Dahisar,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,12100000
304519,1054,kandivali,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,11000000
246794,1695,Goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1,27000000
158869,1579,Goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,21600000
700633,2153,Goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1,30200000
649395,1872,Goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,41200000
387700,1717,Goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,30500000
341292,1675,Goregaon East,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,36700000
491619,1672,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,23800000
931258,1457,Malad East,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,20500000
348398,425,Bhandup West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000
208807,560,thakur village kandivali east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000
696000,1200,Santacruz West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32500000
159484,575,Kanjurmarg,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,8500000
555971,400,Borivali East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000
780582,300,Kandivali East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000
366425,400,I C Colony,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,5500000
587968,650,Dahisar W,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8000000
562360,1600,Malad East,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1,27500000
953022,860,Marol,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,11500000
939584,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,35900000
409824,1200,Lower Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,42000000
529101,1320,Parel,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,33100000
690735,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,106000000
764818,2880,Lower Parel,3,0,0,1,1,0,0,0,0,0,1,0,0,0,1,101400000
428226,997,Jogeshwari East,3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,32500000
693826,1038,Jogeshwari East,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1,18500000
187626,600,Malad West,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11000000
159859,400,Chembur Shell Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9200000
887134,2800,Central Avenue,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,50100000
643312,1400,Chembur East,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,33000000
569245,1500,Diamond Market Road,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,34100000
321515,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0,21800000
940879,1412,Mulund,3,0,1,1,1,0,0,0,1,1,1,1,1,0,0,21200000
658244,545,Nalasopara West,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3000000
739372,585,raheja vihar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11000000
570330,1000,raheja vihar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,17900000
367743,1050,Powai Lake,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,19500000
403098,1014,MHADA Colony 20,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,19500000
667554,900,Goregaon East,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0,16000000
856679,600,Tolaram Colony,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,11500000
463773,700,Tolaram Colony,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,10500000
815837,1550,Taloja,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,6400000
795653,5245,Thane West,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,90000000
828276,529,Vangani,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000
782860,530,Sector 20 Kharghar,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3600000
625787,1260,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9200000
917463,1260,Sector12 New Panvel,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9000000
430108,1150,Sector 17 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9200000
173177,690,Sector 17 Ulwe,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,5300000
862303,1240,Sector9 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,15500000
914247,1260,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9500000
768512,1240,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9000000
278292,1265,Navi Basti,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10100000
